Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-19R-6, 103.0 cm",NULL,NULL,496.611,496.79,496.611,496.79,"C0011B-19R-6, 104.0 cm",NULL,NULL,496.621,496.8,496.621,496.8,"C0011B-19R-6 W, 103.0--104.0 cm",CKY000000000000178010,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T12:50:38Z,NULL,143,glass beaker,5.963,2.692,7.2225,3.2981,1.2595,143,glass beaker,5.963,2.692,6.9598,3.0366,0.9968,0.2722,0.2658,0.3403,0.6061,0.3446,0.0095,0.0043,0.9873,0.2161,0.2757,2.078,1.6289,2.9013,0.4385,0.7811,fuway,2010-08-17T03:18:59Z
"C0011B-19R-7, 21.0 cm",NULL,NULL,497.203,497.4,497.203,497.4,"C0011B-19R-7, 24.0 cm",NULL,NULL,497.232,497.43,497.232,497.43,"C0011B-19R-7 W, 21.0--24.0 cm",CKY000000000000178310,PP,NULL,7,matt322,NULL,CKY,2009-09-13T13:30:56Z,NULL,166,glass beaker,6.109,2.76,8.9351,4.1296,2.8261,166,glass beaker,6.109,2.76,8.3372,3.5343,2.2282,0.6196,0.6051,0.7645,1.3696,0.7743,0.0217,0.0098,2.2065,0.2192,0.2808,2.0634,1.6111,2.8862,0.4418,0.7915,fuway,2010-08-17T03:19:02Z
"C0011B-19R-7, 99.0 cm",NULL,NULL,497.959,498.18,497.959,498.18,"C0011B-19R-7, 101.0 cm",NULL,NULL,497.978,498.2,497.978,498.2,"C0011B-19R-7 W, 99.0--101.0 cm",CKY000000000000178410,PP,NULL,7,matt322,NULL,CKY,2009-09-13T13:30:56Z,NULL,26,glass beaker,4.593,2.059,7.4161,3.4381,2.8231,26,glass beaker,4.593,2.059,6.8277,2.8523,2.2347,0.6097,0.5954,0.7837,1.3791,0.7933,0.0213,0.0096,2.2134,0.216,0.2755,2.0471,1.605,2.8243,0.4317,0.7597,fuway,2010-08-17T03:18:53Z
"C0011B-21R-1, 10.0 cm",NULL,NULL,501.6,501.6,501.6,501.6,"C0011B-21R-1, 11.0 cm",NULL,NULL,501.61,501.61,501.61,501.61,"C0011B-21R-1 WR, 10.0--11.0 cm",CKY000000000000191010,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T20:03:11Z,NULL,125,glass beaker,6.079,2.755,9.8206,4.7383,3.7416,125,glass beaker,6.079,2.755,8.8519,3.7738,2.7729,1.0038,0.9803,1.003,1.9833,1.0188,0.0351,0.0158,2.7378,0.2683,0.3666,1.8866,1.3804,2.7296,0.4943,0.9774,fuway,2010-08-17T03:18:55Z
"C0011B-21R-2, 0.0 cm",NULL,NULL,501.65,501.65,501.65,501.65,"C0011B-21R-2, 2.0 cm",NULL,NULL,501.67,501.67,501.67,501.67,"C0011B-21R-2 WR, 0.0--2.0 cm",CKY000000000000179810,PP,NULL,5,katerina322,NULL,CKY,2009-09-13T14:38:08Z,NULL,119,glass beaker,6.087,2.751,9.0862,4.1831,2.9992,119,glass beaker,6.087,2.751,8.471,3.5705,2.384,0.6375,0.6226,0.8095,1.4321,0.8195,0.0223,0.01,2.3617,0.2126,0.2699,2.0943,1.6491,2.9175,0.4347,0.7691,yohei322,2009-09-14T22:04:49Z
"C0011B-21R-3, 25.0 cm",NULL,NULL,502.51,502.51,502.51,502.51,"C0011B-21R-3, 26.0 cm",NULL,NULL,502.52,502.52,502.52,502.52,"C0011B-21R-3 WR, 25.0--26.0 cm",CKY000000000000191110,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T20:24:14Z,NULL,153,glass beaker,6.082,2.691,9.2342,4.319,3.1522,153,glass beaker,6.082,2.691,8.5461,3.6339,2.4641,0.7131,0.6964,0.9316,1.628,0.9429,0.025,0.0113,2.4391,0.2262,0.2924,1.9362,1.4982,2.6182,0.4278,0.7475,fuway,2010-08-17T03:18:59Z
"C0011B-21R-3, 100.0 cm",NULL,NULL,503.26,503.26,503.26,503.26,"C0011B-21R-3, 101.0 cm",NULL,NULL,503.27,503.27,503.27,503.27,"C0011B-21R-3 WR, 100.0--101.0 cm",CKY000000000000191210,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T20:24:14Z,NULL,155,glass beaker,6.058,2.705,8.4077,3.8921,2.3497,155,glass beaker,6.058,2.705,7.9365,3.4229,1.8785,0.4883,0.4769,0.7102,1.1871,0.7179,0.0171,0.0077,1.8614,0.2078,0.2623,1.9794,1.568,2.621,0.4017,0.6715,yohei322,2009-09-14T22:04:49Z
"C0011B-21R-4, 7.5 cm",NULL,NULL,503.745,503.745,503.745,503.745,"C0011B-21R-4, 9.5 cm",NULL,NULL,503.765,503.765,503.765,503.765,"C0011B-21R-4 W, 7.5--9.5 cm",CKY000000000000191410,PP,NULL,7,andre322,NULL,CKY,2009-09-13T21:04:41Z,NULL,31,glass beaker,4.613,2.084,7.2538,3.3933,2.6408,31,glass beaker,4.613,2.084,6.6906,2.8326,2.0776,0.5836,0.5699,0.7394,1.3093,0.7486,0.0204,0.0092,2.0572,0.221,0.2837,2.017,1.5712,2.7823,0.4353,0.7708,fuway,2010-08-17T03:18:53Z
"C0011B-21R-4, 106.0 cm",NULL,NULL,504.73,504.73,504.73,504.73,"C0011B-21R-4, 108.0 cm",NULL,NULL,504.75,504.75,504.75,504.75,"C0011B-21R-4 WR, 106.0--108.0 cm",CKY000000000000188310,PP,NULL,7,matt322,NULL,CKY,2009-09-13T19:40:11Z,NULL,174,glass beaker,6.018,2.69,10.2139,4.8815,4.1959,174,glass beaker,6.018,2.69,9.1991,3.8711,3.1811,1.0516,1.027,1.1645,2.1915,1.1811,0.0368,0.0166,3.1443,0.2506,0.3344,1.9146,1.4348,2.7001,0.4686,0.8819,fuway,2010-08-17T03:19:03Z
"C0011B-21R-5, 19.0 cm",NULL,NULL,505.27,505.27,505.27,505.27,"C0011B-21R-5, 21.0 cm",NULL,NULL,505.29,505.29,505.29,505.29,"C0011B-21R-5 W, 19.0--21.0 cm",CKY000000000000193110,PP,NULL,7,andre322,NULL,CKY,2009-09-13T21:54:58Z,NULL,121,glass beaker,6.07,2.757,10.4862,4.9356,4.4162,121,glass beaker,6.07,2.757,9.506,3.9596,3.436,1.0158,0.992,1.1866,2.1786,1.2026,0.0356,0.016,3.4004,0.23,0.2987,2.0271,1.5608,2.8657,0.4553,0.836,yohei322,2009-09-14T22:04:49Z
"C0011B-21R-5, 130.0 cm",NULL,NULL,506.38,506.38,506.38,506.38,"C0011B-21R-5, 132.0 cm",NULL,NULL,506.4,506.4,506.4,506.4,"C0011B-21R-5 WR, 130.0--132.0 cm",CKY000000000000189410,PP,NULL,7,matt322,NULL,CKY,2009-09-13T19:55:52Z,NULL,111,glass beaker,6.06,2.76,9.527,4.5384,3.467,111,glass beaker,6.06,2.76,8.699,3.714,2.639,0.858,0.8379,0.9405,1.7784,0.954,0.03,0.0135,2.609,0.2475,0.3289,1.9495,1.467,2.7741,0.4712,0.8909,fuway,2010-08-17T03:18:54Z
"C0011B-21R-6, 25.0 cm",NULL,NULL,506.74,506.74,506.74,506.74,"C0011B-21R-6, 26.0 cm",NULL,NULL,506.75,506.75,506.75,506.75,"C0011B-21R-6 W, 25.0--26.0 cm",CKY000000000000193910,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T22:25:45Z,NULL,197,glass beaker,6.03,2.721,8.6089,3.9917,2.5789,197,glass beaker,6.03,2.721,8.0524,3.4376,2.0224,0.5767,0.5632,0.7075,1.2707,0.7166,0.0202,0.0091,2.0022,0.2236,0.288,2.0295,1.5757,2.83,0.4432,0.796,yohei322,2009-09-14T22:04:49Z
"C0011B-21R-6, 98.0 cm",NULL,NULL,507.47,507.47,507.47,507.47,"C0011B-21R-6, 99.0 cm",NULL,NULL,507.48,507.48,507.48,507.48,"C0011B-21R-6 W, 98.0--99.0 cm",CKY000000000000194010,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T22:25:46Z,NULL,181,glass beaker,6.053,2.726,9.5917,4.524,3.5387,181,glass beaker,6.053,2.726,8.783,3.7188,2.73,0.838,0.8184,0.9796,1.798,0.9928,0.0293,0.0132,2.7007,0.2368,0.3103,1.9681,1.5021,2.7569,0.4552,0.8354,fuway,2010-08-17T03:19:03Z
"C0011B-21R-7, 25.0 cm",NULL,NULL,508.15,508.15,508.15,508.15,"C0011B-21R-7, 26.0 cm",NULL,NULL,508.16,508.16,508.16,508.16,"C0011B-21R-7 W, 25.0--26.0 cm",CKY000000000000195010,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T23:04:12Z,NULL,36,glass beaker,4.524,2.05,6.645,3.0725,2.121,36,glass beaker,4.524,2.05,6.2016,2.6311,1.6776,0.4595,0.4487,0.5738,1.0225,0.5811,0.0161,0.0073,1.6615,0.2166,0.2766,2.0743,1.6249,2.8956,0.4388,0.782,yohei322,2009-09-14T22:04:49Z
"C0011B-21R-7, 100.0 cm",NULL,NULL,508.9,508.9,508.9,508.9,"C0011B-21R-7, 101.0 cm",NULL,NULL,508.91,508.91,508.91,508.91,"C0011B-21R-7 W, 100.0--101.0 cm",CKY000000000000195110,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T23:04:12Z,NULL,147,glass beaker,6.023,2.703,7.9979,3.7612,1.9749,147,glass beaker,6.023,2.703,7.5104,3.2758,1.4874,0.5052,0.4934,0.5648,1.0582,0.5728,0.0177,0.008,1.4697,0.2558,0.3437,1.8663,1.3889,2.6022,0.4663,0.8736,yohei322,2009-09-14T22:04:49Z
"C0011B-21R-8, 25.0 cm",NULL,NULL,509.555,509.555,509.555,509.555,"C0011B-21R-8, 26.0 cm",NULL,NULL,509.565,509.565,509.565,509.565,"C0011B-21R-8 W, 25.0--26.0 cm",CKY000000000000195310,PP,NULL,5,glenn322,NULL,CKY,2009-09-13T23:27:46Z,NULL,145,glass beaker,5.968,2.668,8.2741,3.8445,2.3061,145,glass beaker,5.968,2.668,7.7511,3.3238,1.7831,0.542,0.5293,0.6472,1.1765,0.6558,0.019,0.0086,1.7641,0.235,0.3072,1.9601,1.4994,2.7257,0.4499,0.8178,fuway,2010-08-17T03:18:59Z
"C0011B-23R-1, 26.0 cm",NULL,NULL,520.66,520.66,520.66,520.66,"C0011B-23R-1, 27.0 cm",NULL,NULL,520.67,520.67,520.67,520.67,"C0011B-23R-1 W, 26.0--27.0 cm",CKY000000000000207510,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T02:39:52Z,NULL,179,glass beaker,6.043,2.719,10.2854,4.9739,4.2424,179,glass beaker,6.043,2.719,9.1797,3.8731,3.1367,1.1458,1.1189,1.136,2.2549,1.1541,0.0401,0.0181,3.0966,0.2701,0.37,1.8814,1.3733,2.7259,0.4962,0.9849,fuway,2010-08-17T03:19:03Z
"C0011B-23R-2, 0.0 cm",NULL,NULL,521.145,521.145,521.145,521.145,"C0011B-23R-2, 2.0 cm",NULL,NULL,521.165,521.165,521.165,521.165,"C0011B-23R-2 WR, 0.0--2.0 cm",CKY000000000000192510,PP,NULL,5,matt322,NULL,CKY,2009-09-13T21:51:46Z,NULL,161,glass beaker,6.097,2.755,9.0101,4.2213,2.9131,161,glass beaker,6.097,2.755,8.3154,3.5297,2.2184,0.7199,0.703,0.7633,1.4663,0.7747,0.0252,0.0114,2.1932,0.2471,0.3282,1.9867,1.4957,2.8733,0.4794,0.921,fuway,2010-08-17T03:19:00Z
"C0011B-23R-3, 25.0 cm",NULL,NULL,521.845,521.845,521.845,521.845,"C0011B-23R-3, 26.0 cm",NULL,NULL,521.855,521.855,521.855,521.855,"C0011B-23R-3 W, 25.0--26.0 cm",CKY000000000000207610,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T03:07:08Z,NULL,8,glass beaker,4.55,2.061,8.163,3.9059,3.613,8,glass beaker,4.55,2.061,7.3129,3.0595,2.7629,0.8809,0.8603,0.9846,1.8449,0.9985,0.0308,0.0139,2.7321,0.2438,0.3224,1.9584,1.4809,2.7748,0.4663,0.8738,fuway,2010-08-17T03:18:50Z
"C0011B-23R-3, 95.0 cm",NULL,NULL,522.545,522.545,522.545,522.545,"C0011B-23R-3, 96.0 cm",NULL,NULL,522.555,522.555,522.555,522.555,"C0011B-23R-3 W, 95.0--96.0 cm",CKY000000000000207910,PP,NULL,7,brandon322,NULL,CKY,2009-09-14T03:14:51Z,NULL,13,glass beaker,4.514,2.02,7.2072,3.4183,2.6932,13,glass beaker,4.514,2.02,6.5656,2.7795,2.0516,0.6649,0.6493,0.749,1.3983,0.7595,0.0233,0.0105,2.0283,0.2469,0.3278,1.9261,1.4505,2.708,0.4643,0.8669,fuway,2010-08-17T03:18:52Z
"C0011B-23R-3, 117.5 cm",NULL,NULL,522.77,522.77,522.77,522.77,"C0011B-23R-3, 119.5 cm",NULL,NULL,522.79,522.79,522.79,522.79,"C0011B-23R-3 WR, 117.5--119.5 cm",CKY000000000000195910,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T00:08:39Z,NULL,410,glass beaker,6.223,2.787,10.8168,5.1028,4.5938,410,glass beaker,6.223,2.787,9.7673,4.0579,3.5443,1.0876,1.0621,1.2537,2.3158,1.2709,0.0381,0.0172,3.5062,0.2368,0.3102,1.9837,1.514,2.7967,0.4586,0.8472,fuway,2010-08-17T03:19:05Z
"C0011B-23R-4, 30.0 cm",NULL,NULL,523.3,523.3,523.3,523.3,"C0011B-23R-4, 32.0 cm",NULL,NULL,523.32,523.32,523.32,523.32,"C0011B-23R-4 WR, 30.0--32.0 cm",CKY000000000000196710,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T00:11:47Z,NULL,429,glass beaker,6.209,2.798,10.1476,4.742,3.9386,429,glass beaker,6.209,2.798,9.2775,3.8756,3.0685,0.9017,0.8806,1.0634,1.944,1.0776,0.0316,0.0142,3.0369,0.2289,0.2969,2.026,1.5622,2.8558,0.453,0.8281,fuway,2010-08-17T03:19:08Z
"C0011B-23R-4, 115.0 cm",NULL,NULL,524.15,524.15,524.15,524.15,"C0011B-23R-4, 116.0 cm",NULL,NULL,524.16,524.16,524.16,524.16,"C0011B-23R-4 W, 115.0--116.0 cm",CKY000000000000208210,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T03:45:56Z,NULL,436,glass beaker,6.227,2.789,10.1741,4.797,3.9471,436,glass beaker,6.227,2.789,9.2256,3.8526,2.9986,0.9829,0.9599,1.0481,2.008,1.0636,0.0344,0.0155,2.9642,0.249,0.3316,1.9657,1.4762,2.8282,0.478,0.9158,andre322,2009-09-15T10:35:40Z
"C0011B-23R-5, 21.0 cm",NULL,NULL,524.635,524.635,524.635,524.635,"C0011B-23R-5, 22.0 cm",NULL,NULL,524.645,524.645,524.645,524.645,"C0011B-23R-5 W, 21.0--22.0 cm",CKY000000000000208410,PP,NULL,7,brandon322,NULL,CKY,2009-09-14T04:07:06Z,NULL,199,glass beaker,6.01,2.731,9.0746,4.2432,3.0646,199,glass beaker,6.01,2.731,8.3264,3.4983,2.3164,0.7753,0.7571,0.7551,1.5122,0.7673,0.0271,0.0122,2.2893,0.253,0.3387,2.0266,1.5139,3.0318,0.5007,1.0026,andre322,2009-09-15T10:35:40Z
"C0011B-23R-5, 105.0 cm",NULL,NULL,525.475,525.475,525.475,525.475,"C0011B-23R-5, 106.0 cm",NULL,NULL,525.485,525.485,525.485,525.485,"C0011B-23R-5 W, 105.0--106.0 cm",CKY000000000000208510,PP,NULL,7,brandon322,NULL,CKY,2009-09-14T04:07:06Z,NULL,164,glass beaker,6.107,2.721,10.1359,4.8445,4.0289,164,glass beaker,6.107,2.721,9.1189,3.8319,3.0119,1.0539,1.0292,1.0943,2.1235,1.1109,0.0369,0.0166,2.975,0.2616,0.3543,1.8973,1.401,2.7186,0.4847,0.9405,fuway,2010-08-17T03:19:02Z
"C0011B-23R-6, 37.0 cm",NULL,NULL,526.235,526.235,526.235,526.235,"C0011B-23R-6, 38.0 cm",NULL,NULL,526.245,526.245,526.245,526.245,"C0011B-23R-6 W, 37.0--38.0 cm",CKY000000000000208810,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T04:23:21Z,NULL,435,glass beaker,6.162,2.743,9.6206,4.5372,3.4586,435,glass beaker,6.162,2.743,8.8401,3.7601,2.6781,0.8088,0.7898,1.0044,1.7942,1.0171,0.0283,0.0127,2.6498,0.2339,0.3052,1.9277,1.4769,2.6382,0.4402,0.7863,andre322,2009-09-15T10:35:41Z
"C0011B-23R-7, 25.0 cm",NULL,NULL,526.58,526.58,526.58,526.58,"C0011B-23R-7, 26.0 cm",NULL,NULL,526.59,526.59,526.59,526.59,"C0011B-23R-7 W, 25.0--26.0 cm",CKY000000000000210510,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T04:49:00Z,NULL,4,glass beaker,4.667,2.064,8.1719,3.9329,3.5049,4,glass beaker,4.667,2.064,7.3324,3.0971,2.6654,0.8699,0.8495,1.0194,1.8689,1.0331,0.0304,0.0137,2.635,0.2482,0.3301,1.8754,1.4099,2.5849,0.4545,0.8333,fuway,2010-08-17T03:18:50Z
"C0011B-23R-7, 106.0 cm",NULL,NULL,527.39,527.39,527.39,527.39,"C0011B-23R-7, 108.0 cm",NULL,NULL,527.41,527.41,527.41,527.41,"C0011B-23R-7 WR, 106.0--108.0 cm",CKY000000000000197510,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T00:14:50Z,NULL,159,glass beaker,6.088,2.75,10.3274,4.835,4.2394,159,glass beaker,6.088,2.75,9.4665,3.9779,3.3785,0.8921,0.8712,1.2138,2.085,1.2279,0.0312,0.0141,3.3473,0.2104,0.2665,2.0333,1.6054,2.7577,0.4178,0.7177,yohei322,2009-09-14T22:04:50Z
"C0011B-23R-8, 53.0 cm",NULL,NULL,528.265,528.265,528.265,528.265,"C0011B-23R-8, 55.0 cm",NULL,NULL,528.285,528.285,528.285,528.285,"C0011B-23R-8 WR, 53.0--55.0 cm",CKY000000000000198410,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T00:18:29Z,NULL,444,glass beaker,6.198,2.783,10.294,4.85,4.096,444,glass beaker,6.198,2.783,9.386,3.946,3.188,0.9409,0.9188,1.1482,2.067,1.163,0.0329,0.0148,3.1551,0.2297,0.2982,1.9816,1.5264,2.7479,0.4445,0.8002,fuway,2010-08-17T03:19:09Z
"C0011B-23R-8, 99.0 cm",NULL,NULL,528.725,528.725,528.725,528.725,"C0011B-23R-8, 100.0 cm",NULL,NULL,528.735,528.735,528.735,528.735,"C0011B-23R-8 W, 99.0--100.0 cm",CKY000000000000199910,PP,NULL,5,yohei322,NULL,CKY,2009-09-14T00:25:47Z,NULL,203,glass beaker,6.041,2.725,9.4852,4.4629,3.4442,203,glass beaker,6.041,2.725,8.6856,3.6668,2.6446,0.8286,0.8092,0.9287,1.7379,0.9418,0.029,0.0131,2.6156,0.2406,0.3168,1.9818,1.505,2.8164,0.4656,0.8713,fuway,2010-08-17T03:19:04Z
"C0011B-24R-2, 17.0 cm",NULL,NULL,530.64,530.64,530.64,530.64,"C0011B-24R-2, 22.0 cm",NULL,NULL,530.69,530.69,530.69,530.69,"C0011B-24R-2 WR, 17.0--22.0 cm",CKY000000000000205810,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T02:07:06Z,NULL,405,glass beaker,6.179,2.803,9.1599,4.3451,2.9809,405,glass beaker,6.179,2.803,8.4574,3.6457,2.2784,0.728,0.7109,0.8312,1.5421,0.8427,0.0255,0.0115,2.2529,0.2442,0.3231,1.933,1.4609,2.7104,0.461,0.8553,fuway,2010-08-17T03:19:04Z
"C0011B-24R-2, 100.5 cm",NULL,NULL,531.475,531.475,531.475,531.475,"C0011B-24R-2, 101.5 cm",NULL,NULL,531.485,531.485,531.485,531.485,"C0011B-24R-2 W, 100.5--101.5 cm",CKY000000000000219410,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T06:33:46Z,NULL,130,glass beaker,6.105,2.751,9.7991,4.6865,3.6941,130,glass beaker,6.105,2.751,8.851,3.7425,2.746,0.9825,0.9595,0.976,1.9355,0.9915,0.0344,0.0155,2.7116,0.266,0.3623,1.9086,1.401,2.7783,0.4957,0.9831,matt322,2009-09-15T09:49:41Z
"C0011B-24R-3, 25.0 cm",NULL,NULL,532.13,532.13,532.13,532.13,"C0011B-24R-3, 26.0 cm",NULL,NULL,532.14,532.14,532.14,532.14,"C0011B-24R-3 W, 25.0--26.0 cm",CKY000000000000220010,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T06:36:37Z,NULL,23,glass beaker,4.619,2.09,8.5186,4.1314,3.8996,23,glass beaker,4.619,2.09,7.5214,3.1385,2.9024,1.0334,1.0092,1.0322,2.0414,1.0485,0.0362,0.0163,2.8662,0.265,0.3605,1.9103,1.404,2.7768,0.4944,0.9777,andre322,2009-09-15T10:35:41Z
"C0011B-24R-3, 100.0 cm",NULL,NULL,532.88,532.88,532.88,532.88,"C0011B-24R-3, 101.0 cm",NULL,NULL,532.89,532.89,532.89,532.89,"C0011B-24R-3 W, 100.0--101.0 cm",CKY000000000000220110,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T06:36:38Z,NULL,1,glass beaker,4.603,2.075,8.8467,4.3061,4.2437,1,glass beaker,4.603,2.075,7.752,3.2162,3.149,1.1344,1.1078,1.1233,2.2311,1.1412,0.0397,0.0179,3.1093,0.2673,0.3648,1.9021,1.3936,2.768,0.4965,0.9862,andre322,2009-09-15T10:35:41Z
"C0011B-24R-4, 25.0 cm",NULL,NULL,533.545,533.545,533.545,533.545,"C0011B-24R-4, 26.0 cm",NULL,NULL,533.555,533.555,533.555,533.555,"C0011B-24R-4 WR, 25.0--26.0 cm",CKY000000000000220510,PP,NULL,5,yohei322,NULL,CKY,2009-09-14T07:29:26Z,NULL,446,glass beaker,6.334,2.909,9.9406,4.7348,3.6066,446,glass beaker,6.334,2.909,9.0756,3.8735,2.7416,0.8964,0.8754,0.9504,1.8258,0.9645,0.0314,0.0141,2.7102,0.2485,0.3308,1.9754,1.4844,2.8516,0.4795,0.9211,fuway,2010-08-17T03:19:09Z
"C0011B-24R-4, 104.0 cm",NULL,NULL,534.335,534.335,534.335,534.335,"C0011B-24R-4, 105.0 cm",NULL,NULL,534.345,534.345,534.345,534.345,"C0011B-24R-4 WR, 104.0--105.0 cm",CKY000000000000220610,PP,NULL,5,yohei322,NULL,CKY,2009-09-14T07:29:26Z,NULL,431,glass beaker,6.328,2.848,10.9547,5.2577,4.6267,431,glass beaker,6.328,2.848,9.9114,4.2189,3.5834,1.0811,1.0558,1.3539,2.4097,1.3709,0.0378,0.017,3.5456,0.2337,0.3049,1.92,1.4714,2.6188,0.4381,0.7798,fuway,2010-08-17T03:19:08Z
"C0011B-24R-5, 19.0 cm",NULL,NULL,534.89,534.89,534.89,534.89,"C0011B-24R-5, 20.0 cm",NULL,NULL,534.9,534.9,534.9,534.9,"C0011B-24R-5 WR, 19.0--20.0 cm",CKY000000000000220710,PP,NULL,5,yohei322,NULL,CKY,2009-09-14T07:29:26Z,NULL,134,glass beaker,6.034,2.724,10.2344,4.9836,4.2004,134,glass beaker,6.034,2.724,9.1664,3.9202,3.1324,1.1067,1.0808,1.1788,2.2596,1.1962,0.0387,0.0174,3.0937,0.2635,0.3577,1.8589,1.3691,2.6244,0.4783,0.9169,matt322,2009-09-15T09:49:41Z
"C0011B-25R-1, 30.0 cm",NULL,NULL,539.7,539.7,539.7,539.7,"C0011B-25R-1, 32.0 cm",NULL,NULL,539.72,539.72,539.72,539.72,"C0011B-25R-1 WR, 30.0--32.0 cm",CKY000000000000217210,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T06:08:37Z,NULL,419,glass beaker,6.198,2.79,9.6362,4.4845,3.4382,419,glass beaker,6.198,2.79,8.9044,3.7559,2.7064,0.7583,0.7405,0.954,1.6945,0.9659,0.0265,0.0119,2.6799,0.2206,0.283,2.029,1.5815,2.8091,0.437,0.7762,fuway,2010-08-17T03:19:07Z
"C0011B-25R-2, 50.0 cm",NULL,NULL,540.36,540.36,540.36,540.36,"C0011B-25R-2, 52.0 cm",NULL,NULL,540.38,540.38,540.38,540.38,"C0011B-25R-2 WR, 50.0--52.0 cm",CKY000000000000209910,PP,NULL,5,brandon322,NULL,CKY,2009-09-14T04:36:28Z,NULL,430,glass beaker,6.265,2.769,9.3845,4.4345,3.1195,430,glass beaker,6.265,2.769,8.6858,3.7389,2.4208,0.724,0.707,0.9585,1.6655,0.9699,0.0253,0.0114,2.3955,0.2321,0.3022,1.873,1.4383,2.4992,0.4245,0.7376,matt322,2009-09-15T09:49:41Z
"C0011B-25R-3, 99.0 cm",NULL,NULL,541.48,541.48,541.48,541.48,"C0011B-25R-3, 100.0 cm",NULL,NULL,541.49,541.49,541.49,541.49,"C0011B-25R-3 W, 99.0--100.0 cm",CKY000000000000226610,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T09:37:18Z,NULL,27,glass beaker,4.639,2.091,9.068,4.3606,4.429,27,glass beaker,4.639,2.091,8.0662,3.3632,3.4272,1.0381,1.0138,1.2558,2.2696,1.2722,0.0363,0.0164,3.3909,0.2344,0.3061,1.9514,1.4941,2.7002,0.4467,0.8073,andre322,2009-09-15T10:35:41Z
"C0011B-25R-4, 25.0 cm",NULL,NULL,542.14,542.14,542.14,542.14,"C0011B-25R-4, 26.0 cm",NULL,NULL,542.15,542.15,542.15,542.15,"C0011B-25R-4 W, 25.0--26.0 cm",CKY000000000000227510,PP,NULL,7,yohei322,NULL,CKY,2009-09-14T10:15:04Z,NULL,163,glass beaker,6.102,2.74,9.7892,4.6178,3.6872,163,glass beaker,6.102,2.74,8.9853,3.8174,2.8833,0.8331,0.8136,1.0642,1.8778,1.0774,0.0292,0.0132,2.8541,0.2259,0.2919,1.9636,1.5199,2.6819,0.4333,0.7645,fuway,2010-08-17T03:19:01Z
