Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-35R-3, 23.0 cm",NULL,NULL,627.39,627.565,627.39,627.565,"C0011B-35R-3, 25.0 cm",NULL,NULL,627.409,627.585,627.409,627.585,"C0011B-35R-3 WR, 23.0--25.0 cm",CKY000000000000292310,CARB,NULL,8,fujikit,share with RE,CKY,2009-09-16T00:24:46Z,NULL,NULL,NULL,NULL,0.07775,0.58048,0.1249,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-3, 24.0 cm",NULL,NULL,627.4,627.575,627.4,627.575,"C0011B-35R-3, 24.0 cm",NULL,NULL,627.4,627.575,627.4,627.575,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2694,2.2449,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,30,0.18,435,20,0.01,0.03,0,0.17,0.17,0.02,0.15,0,0.06,0.87,5.44,6,0.04,0.45,0.2,424,0.2,463,miyabes,2009-10-08T12:54:18Z
"C0011B-35R-4, 0.0 cm",NULL,NULL,628.144,628.365,628.144,628.365,"C0011B-35R-4, 3.0 cm",NULL,NULL,628.173,628.395,628.173,628.395,"C0011B-35R-4 WR, 0.0--3.0 cm",CKY000000000000286610,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-15T22:04:27Z,NULL,NULL,NULL,NULL,0.07655,0.34858,0.12385,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-4, 1.5 cm",NULL,NULL,628.159,628.38,628.159,628.38,"C0011B-35R-4, 1.5 cm",NULL,NULL,628.159,628.38,628.159,628.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0593,0.4941,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,17,0.09,311,11,0.04,0.02,0,0.05,0.16,0.03,0.13,0,0.03,0.56,4.8,1.7,0.02,0.67,0,426,0.18,465,miyabes,2009-10-08T12:54:18Z
"C0011B-35R-5, 87.0 cm",NULL,NULL,629.474,629.775,629.474,629.775,"C0011B-35R-5, 89.0 cm",NULL,NULL,629.493,629.795,629.493,629.795,"C0011B-35R-5 WR, 87.0--89.0 cm",CKY000000000000293210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T00:27:54Z,NULL,NULL,NULL,NULL,0.06773,0.53303,0.18771,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-5, 88.0 cm",NULL,NULL,629.483,629.785,629.483,629.785,"C0011B-35R-5, 88.0 cm",NULL,NULL,629.483,629.785,629.483,629.785,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.227,1.8916,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-6, 60.0 cm",NULL,NULL,630.544,630.91,630.544,630.91,"C0011B-35R-6, 62.0 cm",NULL,NULL,630.563,630.93,630.563,630.93,"C0011B-35R-6 WR, 60.0--62.0 cm",CKY000000000000294010,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T00:30:51Z,NULL,NULL,NULL,NULL,0.0767,0.30804,0.05823,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-6, 61.0 cm",NULL,NULL,630.554,630.92,630.554,630.92,"C0011B-35R-6, 61.0 cm",NULL,NULL,630.554,630.92,630.554,630.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0547,0.4558,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-6, 115.0 cm",NULL,NULL,631.063,631.46,631.063,631.46,"C0011B-35R-6, 117.0 cm",NULL,NULL,631.082,631.48,631.082,631.48,"C0011B-35R-6 WR, 115.0--117.0 cm",CKY000000000000294810,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T00:33:37Z,NULL,NULL,NULL,NULL,0.07619,0.52099,0.1691,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-6, 116.0 cm",NULL,NULL,631.072,631.47,631.072,631.47,"C0011B-35R-6, 116.0 cm",NULL,NULL,631.072,631.47,631.072,631.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1373,1.1441,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-7, 94.0 cm",NULL,NULL,632.213,632.68,632.213,632.68,"C0011B-35R-7, 96.0 cm",NULL,NULL,632.232,632.7,632.232,632.7,"C0011B-35R-7 WR, 94.0--96.0 cm",CKY000000000000296110,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T00:36:18Z,NULL,NULL,NULL,NULL,0.08152,0.72374,0.32285,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-7, 95.0 cm",NULL,NULL,632.223,632.69,632.223,632.69,"C0011B-35R-7, 95.0 cm",NULL,NULL,632.223,632.69,632.223,632.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3467,2.8891,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-8, 44.0 cm",NULL,NULL,633.081,633.6,633.081,633.6,"C0011B-35R-8, 46.0 cm",NULL,NULL,633.1,633.62,633.1,633.62,"C0011B-35R-8 WR, 44.0--46.0 cm",CKY000000000000296910,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T00:39:36Z,NULL,NULL,NULL,NULL,0.07344,0.32815,0.22721,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-35R-8, 45.0 cm",NULL,NULL,633.09,633.61,633.09,633.61,"C0011B-35R-8, 45.0 cm",NULL,NULL,633.09,633.61,633.09,633.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0744,0.62,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-36R-2, 50.0 cm",NULL,NULL,635.165,635.165,635.165,635.165,"C0011B-36R-2, 52.0 cm",NULL,NULL,635.185,635.185,635.185,635.185,"C0011B-36R-2 WR, 50.0--52.0 cm",CKY000000000000297910,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-16T00:54:36Z,NULL,NULL,NULL,NULL,0.07561,0.34901,0.07342,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-36R-2, 51.0 cm",NULL,NULL,635.175,635.175,635.175,635.175,"C0011B-36R-2, 51.0 cm",NULL,NULL,635.175,635.175,635.175,635.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0559,0.4658,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,20,0.04,453,47,0,0.03,0,0.04,0.12,0.02,0.1,0,0.03,0.68,3.65,1.4,0.07,0.54,0.1,427,0.15,466,miyabes,2009-10-08T12:54:18Z
"C0011B-36R-3, 96.0 cm",NULL,NULL,636.165,636.165,636.165,636.165,"C0011B-36R-3, 98.0 cm",NULL,NULL,636.185,636.185,636.185,636.185,"C0011B-36R-3 W, 96.0--98.0 cm",CKY000000000000330310,CARB,NULL,3,glenn322,NULL,CKY,2009-09-16T14:32:57Z,NULL,NULL,NULL,NULL,0.0482,0.36432,0.44374,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-36R-3, 97.0 cm",NULL,NULL,636.175,636.175,636.175,636.175,"C0011B-36R-3, 97.0 cm",NULL,NULL,636.175,636.175,636.175,636.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1665,1.3874,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-36R-4, 127.0 cm",NULL,NULL,637.885,637.885,637.885,637.885,"C0011B-36R-4, 129.0 cm",NULL,NULL,637.905,637.905,637.905,637.905,"C0011B-36R-4 WR, 127.0--129.0 cm",CKY000000000000307710,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T04:36:23Z,NULL,NULL,NULL,NULL,0.0769,0.41944,0.1162,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-36R-4, 128.0 cm",NULL,NULL,637.895,637.895,637.895,637.895,"C0011B-36R-4, 128.0 cm",NULL,NULL,637.895,637.895,637.895,637.895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0914,0.7616,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-36R-5, 69.0 cm",NULL,NULL,638.715,638.715,638.715,638.715,"C0011B-36R-5, 71.0 cm",NULL,NULL,638.735,638.735,638.735,638.735,"C0011B-36R-5 WR, 69.0--71.0 cm",CKY000000000000308510,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T04:41:10Z,NULL,NULL,NULL,NULL,0.07753,0.62399,0.34761,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-36R-5, 70.0 cm",NULL,NULL,638.725,638.725,638.725,638.725,"C0011B-36R-5, 70.0 cm",NULL,NULL,638.725,638.725,638.725,638.725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2763,2.3024,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-37R-2, 50.0 cm",NULL,NULL,645.176,645.29,645.176,645.29,"C0011B-37R-2, 53.0 cm",NULL,NULL,645.204,645.32,645.204,645.32,"C0011B-37R-2 WR, 50.0--53.0 cm",CKY000000000000305710,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-16T04:18:04Z,NULL,NULL,NULL,NULL,0.07876,0.58894,0.23417,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-37R-2, 51.5 cm",NULL,NULL,645.19,645.305,645.19,645.305,"C0011B-37R-2, 51.5 cm",NULL,NULL,645.19,645.305,645.19,645.305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2489,2.0741,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,33,0.19,297,12,0.03,0.04,0.08,0.17,0.29,0.03,0.26,0.01,0.11,0.98,9.35,6,0.04,0.81,0.1,419,0.33,459,miyabes,2009-10-08T12:54:18Z
"C0011B-37R-4, 9.0 cm",NULL,NULL,646.609,646.82,646.609,646.82,"C0011B-37R-4, 11.0 cm",NULL,NULL,646.628,646.84,646.628,646.84,"C0011B-37R-4 WR, 9.0--11.0 cm",CKY000000000000311210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T06:50:59Z,NULL,NULL,NULL,NULL,0.06898,0.56535,0.15743,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-37R-4, 10.0 cm",NULL,NULL,646.618,646.83,646.618,646.83,"C0011B-37R-4, 10.0 cm",NULL,NULL,646.618,646.83,646.618,646.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2551,2.1257,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-37R-5, 110.0 cm",NULL,NULL,648.88,649.245,648.88,649.245,"C0011B-37R-5, 112.0 cm",NULL,NULL,648.899,649.265,648.899,649.265,"C0011B-37R-5 W, 110.0--112.0 cm",CKY000000000000336710,CARB,NULL,3,hajime322,NULL,CKY,2009-09-16T15:49:16Z,NULL,NULL,NULL,NULL,0.06557,0.99283,0.19319,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-37R-5, 111.0 cm",NULL,NULL,648.889,649.255,648.889,649.255,"C0011B-37R-5, 111.0 cm",NULL,NULL,648.889,649.255,648.889,649.255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6158,5.1315,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-37R-7, 33.0 cm",NULL,NULL,650.804,651.3,650.804,651.3,"C0011B-37R-7, 35.0 cm",NULL,NULL,650.823,651.32,650.823,651.32,"C0011B-37R-7 WR, 33.0--35.0 cm",CKY000000000000306910,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T04:25:40Z,NULL,NULL,NULL,NULL,0.06379,0.34564,0.14507,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-37R-7, 34.0 cm",NULL,NULL,650.814,651.31,650.814,651.31,"C0011B-37R-7, 34.0 cm",NULL,NULL,650.814,651.31,650.814,651.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1158,0.965,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-1, 72.0 cm",NULL,NULL,653.72,653.72,653.72,653.72,"C0011B-38R-1, 74.0 cm",NULL,NULL,653.74,653.74,653.74,653.74,"C0011B-38R-1 WR, 72.0--74.0 cm",CKY000000000000320110,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T10:13:55Z,NULL,NULL,NULL,NULL,0.06609,0.83347,0.11813,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-1, 73.0 cm",NULL,NULL,653.73,653.73,653.73,653.73,"C0011B-38R-1, 73.0 cm",NULL,NULL,653.73,653.73,653.73,653.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5322,4.4348,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-2, 0.0 cm",NULL,NULL,654.39,654.39,654.39,654.39,"C0011B-38R-2, 2.0 cm",NULL,NULL,654.41,654.41,654.41,654.41,"C0011B-38R-2 WR, 0.0--2.0 cm",CKY000000000000312310,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-16T07:07:42Z,NULL,NULL,NULL,NULL,0.06524,0.56241,0.19657,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-2, 1.0 cm",NULL,NULL,654.4,654.4,654.4,654.4,"C0011B-38R-2, 1.0 cm",NULL,NULL,654.4,654.4,654.4,654.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3049,2.5407,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,22,0.22,341,11,0.03,0.03,0.04,0.19,0.24,0.04,0.2,0,0.06,0.92,7.27,7,0.03,0.98,0.1,428,0.27,468,miyabes,2009-10-08T12:54:18Z
"C0011B-38R-4, 64.0 cm",NULL,NULL,656.98,656.98,656.98,656.98,"C0011B-38R-4, 66.0 cm",NULL,NULL,657,657,657,657,"C0011B-38R-4 WR, 64.0--66.0 cm",CKY000000000000322010,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T10:59:55Z,NULL,NULL,NULL,NULL,0.05677,2.2647,0.04726,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-4, 65.0 cm",NULL,NULL,656.99,656.99,656.99,656.99,"C0011B-38R-4, 65.0 cm",NULL,NULL,656.99,656.99,656.99,656.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.023,16.8577,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-6, 18.0 cm",NULL,NULL,659.345,659.345,659.345,659.345,"C0011B-38R-6, 20.0 cm",NULL,NULL,659.365,659.365,659.365,659.365,"C0011B-38R-6 W, 18.0--20.0 cm",CKY000000000000352610,CARB,NULL,3,hajime322,NULL,CKY,2009-09-16T22:41:20Z,NULL,NULL,NULL,NULL,0.05583,0.9191,0.17862,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-6, 19.0 cm",NULL,NULL,659.355,659.355,659.355,659.355,"C0011B-38R-6, 19.0 cm",NULL,NULL,659.355,659.355,659.355,659.355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6532,5.4431,miyabes,2009-10-02T10:35:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-7, 92.0 cm",NULL,NULL,661.485,661.485,661.485,661.485,"C0011B-38R-7, 94.0 cm",NULL,NULL,661.505,661.505,661.505,661.505,"C0011B-38R-7 WR, 92.0--94.0 cm",CKY000000000000320910,CARB,NULL,8,brandon322,NULL,CKY,2009-09-16T10:16:53Z,NULL,NULL,NULL,NULL,0.06096,0.99187,0.28624,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-38R-7, 93.0 cm",NULL,NULL,661.495,661.495,661.495,661.495,"C0011B-38R-7, 93.0 cm",NULL,NULL,661.495,661.495,661.495,661.495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7598,6.3314,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-39R-1, 23.5 cm",NULL,NULL,662.735,662.735,662.735,662.735,"C0011B-39R-1, 25.5 cm",NULL,NULL,662.755,662.755,662.755,662.755,"C0011B-39R-1 WR, 23.5--25.5 cm",CKY000000000000328910,CARB,NULL,10,matt322,NULL,CKY,2009-09-16T14:14:00Z,NULL,NULL,NULL,NULL,0.05864,1.60735,0.1045,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-39R-1, 24.5 cm",NULL,NULL,662.745,662.745,662.745,662.745,"C0011B-39R-1, 24.5 cm",NULL,NULL,662.745,662.745,662.745,662.745,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.3733,11.4437,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-39R-4, 50.0 cm",NULL,NULL,667.235,667.235,667.235,667.235,"C0011B-39R-4, 52.0 cm",NULL,NULL,667.255,667.255,667.255,667.255,"C0011B-39R-4 WR, 50.0--52.0 cm",CKY000000000000323210,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-16T11:22:47Z,NULL,NULL,NULL,NULL,0.06372,0.57241,0.32615,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
