Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012A-1R-1, 62.0 cm",NULL,0.62,0.62,0.62,0.62,"C0012A-1R-1, 66.0 cm",NULL,0.66,0.66,0.66,0.66,"C0012A-1R-1 W, 62.0--66.0 cm",CKY000000000000548310,CARB,NULL,3,yohei322,NULL,CKY,2009-09-26T03:09:58Z,NULL,NULL,NULL,NULL,0.03879,0.418,0.45815,9/29/2009,miyabes,2009-10-08T10:49:43Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-1R-1, 64.0 cm",NULL,0.64,0.64,0.64,0.64,"C0012A-1R-1, 64.0 cm",NULL,0.64,0.64,0.64,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1225,1.0208,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-2R-4, 28.0 cm",NULL,64.125,64.125,64.125,64.125,"C0012A-2R-4, 33.0 cm",NULL,64.175,64.175,64.175,64.175,"C0012A-2R-4 WR, 28.0--33.0 cm",CKY000000000000550710,CARB,NULL,3,brandon322,NULL,CKY,2009-09-26T07:03:05Z,NULL,NULL,NULL,NULL,0.06319,0.45418,0.38429,9/29/2009,miyabes,2009-10-08T10:49:43Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-2R-4, 30.5 cm",NULL,64.15,64.15,64.15,64.15,"C0012A-2R-4, 30.5 cm",NULL,64.15,64.15,64.15,64.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.053,0.4416,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-3R-1, 72.0 cm",NULL,70.22,70.22,70.22,70.22,"C0012A-3R-1, 76.0 cm",NULL,70.26,70.26,70.26,70.26,"C0012A-3R-1 W, 72.0--76.0 cm",CKY000000000000553010,CARB,NULL,3,brandon322,NULL,CKY,2009-09-26T09:26:36Z,NULL,NULL,NULL,NULL,0.05276,0.94177,0.15133,9/29/2009,miyabes,2009-10-08T10:49:43Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-3R-1, 74.0 cm",NULL,70.24,70.24,70.24,70.24,"C0012A-3R-1, 74.0 cm",NULL,70.24,70.24,70.24,70.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6337,5.2806,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-4R-2, 25.0 cm",NULL,80.255,80.255,80.255,80.255,"C0012A-4R-2, 30.0 cm",NULL,80.305,80.305,80.305,80.305,"C0012A-4R-2 W, 25.0--30.0 cm",CKY000000000000558310,CARB,NULL,3,brandon322,NULL,CKY,2009-09-26T11:17:13Z,NULL,NULL,NULL,NULL,0.04859,0.88109,0.10604,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-4R-2, 27.5 cm",NULL,80.28,80.28,80.28,80.28,"C0012A-4R-2, 27.5 cm",NULL,80.28,80.28,80.28,80.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6579,5.4823,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-2, 25.0 cm",NULL,89.675,89.675,89.675,89.675,"C0012A-5R-2, 27.0 cm",NULL,89.695,89.695,89.695,89.695,"C0012A-5R-2 WR, 25.0--27.0 cm",CKY000000000000555710,CARB,NULL,3,katerina322,NULL,CKY,2009-09-26T11:05:53Z,NULL,NULL,NULL,NULL,0.05097,0.64096,0.09439,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-2, 26.0 cm",NULL,89.685,89.685,89.685,89.685,"C0012A-5R-2, 26.0 cm",NULL,89.685,89.685,89.685,89.685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4124,3.4365,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-3, 42.0 cm",NULL,90.305,90.305,90.305,90.305,"C0012A-5R-3, 44.0 cm",NULL,90.325,90.325,90.325,90.325,"C0012A-5R-3 WR, 42.0--44.0 cm",CKY000000000000560710,CARB,NULL,10,matt322,NULL,CKY,2009-09-26T12:21:11Z,NULL,NULL,NULL,NULL,0.04788,0.43615,0.09718,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-3, 43.0 cm",NULL,90.315,90.315,90.315,90.315,"C0012A-5R-3, 43.0 cm",NULL,90.315,90.315,90.315,90.315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2569,2.1407,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-5, 18.0 cm",NULL,92.485,92.485,92.485,92.485,"C0012A-5R-5, 20.0 cm",NULL,92.505,92.505,92.505,92.505,"C0012A-5R-5 WR, 18.0--20.0 cm",CKY000000000000561610,CARB,NULL,10,matt322,NULL,CKY,2009-09-26T12:23:54Z,NULL,NULL,NULL,NULL,0.04499,1.01485,0.11495,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-5R-5, 19.0 cm",NULL,92.495,92.495,92.495,92.495,"C0012A-5R-5, 19.0 cm",NULL,92.495,92.495,92.495,92.495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7869,6.5572,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-6R-3, 10.0 cm",NULL,100.45,100.45,100.45,100.45,"C0012A-6R-3, 12.0 cm",NULL,100.47,100.47,100.47,100.47,"C0012A-6R-3 WR, 10.0--12.0 cm",CKY000000000000563610,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-26T13:00:48Z,NULL,NULL,NULL,NULL,0.05104,0.54023,0.13152,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-6R-3, 11.0 cm",NULL,100.46,100.46,100.46,100.46,"C0012A-6R-3, 11.0 cm",NULL,100.46,100.46,100.46,100.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3146,2.6216,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,45,0.21,500,9,0.01,0.04,0.06,0.2,0.18,0.02,0.16,0.01,0.1,1.1,5.76,7.1,0.02,0.39,0.2,606,0.22,647,miyabes,2009-10-08T12:56:00Z
"C0012A-6R-4, 66.0 cm",NULL,101.34,101.34,101.34,101.34,"C0012A-6R-4, 68.0 cm",NULL,101.36,101.36,101.36,101.36,"C0012A-6R-4 W, 66.0--68.0 cm",CKY000000000000568710,CARB,NULL,3,glenn322,NULL,CKY,2009-09-26T15:28:20Z,NULL,NULL,NULL,NULL,0.04564,0.38012,0.16237,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-6R-4, 67.0 cm",NULL,101.35,101.35,101.35,101.35,"C0012A-6R-4, 67.0 cm",NULL,101.35,101.35,101.35,101.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1732,1.4433,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-6R-4, 71.0 cm",NULL,101.39,101.39,101.39,101.39,"C0012A-6R-4, 73.0 cm",NULL,101.41,101.41,101.41,101.41,"C0012A-6R-4 WR, 71.0--73.0 cm",CKY000000000000566410,CARB,NULL,10,matt322,NULL,CKY,2009-09-26T14:04:30Z,NULL,NULL,NULL,NULL,0.05148,0.39572,0.20659,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-6R-4, 72.0 cm",NULL,101.4,101.4,101.4,101.4,"C0012A-6R-4, 72.0 cm",NULL,101.4,101.4,101.4,101.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1596,1.3299,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-7R-5, 108.0 cm",NULL,107.835,107.835,107.835,107.835,"C0012A-7R-5, 110.0 cm",NULL,107.855,107.855,107.855,107.855,"C0012A-7R-5 WR, 108.0--110.0 cm",CKY000000000000570610,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-26T16:34:46Z,NULL,NULL,NULL,NULL,0.05046,0.55766,0.16158,9/29/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-7R-5, 109.0 cm",NULL,107.845,107.845,107.845,107.845,"C0012A-7R-5, 109.0 cm",NULL,107.845,107.845,107.845,107.845,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2571,2.1424,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,53,0.18,574,5,0.01,0.04,0.06,0.16,0.15,0.02,0.13,0.01,0.1,1.09,4.75,5.9,0.01,0.42,0.1,606,0.19,647,miyabes,2009-10-08T12:56:00Z
"C0012A-8R-3, 30.0 cm",NULL,114.615,114.615,114.615,114.615,"C0012A-8R-3, 32.0 cm",NULL,114.635,114.635,114.635,114.635,"C0012A-8R-3 WR, 30.0--32.0 cm",CKY000000000000574010,CARB,NULL,10,matt322,NULL,CKY,2009-09-26T16:58:48Z,NULL,NULL,NULL,NULL,0.0443,1.40861,0.12437,10/4/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-8R-3, 31.0 cm",NULL,114.625,114.625,114.625,114.625,"C0012A-8R-3, 31.0 cm",NULL,114.625,114.625,114.625,114.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1658,9.7146,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-8R-3, 108.0 cm",NULL,115.395,115.395,115.395,115.395,"C0012A-8R-3, 110.0 cm",NULL,115.415,115.415,115.415,115.415,"C0012A-8R-3 WR, 108.0--110.0 cm",CKY000000000000581010,CARB,NULL,10,matt322,NULL,CKY,2009-09-26T18:48:50Z,NULL,NULL,NULL,NULL,0.04451,1.21001,0.21418,10/4/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-8R-3, 109.0 cm",NULL,115.405,115.405,115.405,115.405,"C0012A-8R-3, 109.0 cm",NULL,115.405,115.405,115.405,115.405,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0261,8.5505,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-8R-5, 0.0 cm",NULL,116.62,116.62,116.62,116.62,"C0012A-8R-5, 3.0 cm",NULL,116.65,116.65,116.65,116.65,"C0012A-8R-5 WR, 0.0--3.0 cm",CKY000000000000578710,CARB,NULL,3,katerina322,NULL,CKY,2009-09-26T17:40:32Z,NULL,NULL,NULL,NULL,0.05004,0.78039,0.11168,10/4/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-8R-5, 1.5 cm",NULL,116.635,116.635,116.635,116.635,"C0012A-8R-5, 1.5 cm",NULL,116.635,116.635,116.635,116.635,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5499,4.5823,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-8R-6, 47.0 cm",NULL,117.325,117.325,117.325,117.325,"C0012A-8R-6, 49.0 cm",NULL,117.345,117.345,117.345,117.345,"C0012A-8R-6 WR, 47.0--49.0 cm",CKY000000000000583010,CARB,NULL,10,christine322,NULL,CKY,2009-09-26T19:19:59Z,NULL,NULL,NULL,NULL,0.04887,1.21114,0.09188,10/4/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-8R-6, 48.0 cm",NULL,117.335,117.335,117.335,117.335,"C0012A-8R-6, 48.0 cm",NULL,117.335,117.335,117.335,117.335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.984,8.1997,miyabes,2009-10-08T11:29:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-9R-4, 0.0 cm",NULL,124.03,124.03,124.03,124.03,"C0012A-9R-4, 2.0 cm",NULL,124.05,124.05,124.05,124.05,"C0012A-9R-4 WR, 0.0--2.0 cm",CKY000000000000585110,CARB,NULL,3,christine322,NULL,CKY,2009-09-26T20:06:06Z,NULL,NULL,NULL,NULL,0.05669,0.49863,0.10712,10/4/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-9R-4, 1.0 cm",NULL,124.04,124.04,124.04,124.04,"C0012A-9R-4, 1.0 cm",NULL,124.04,124.04,124.04,124.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2625,2.1874,miyabes,2009-10-08T11:29:42Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-9R-5, 59.0 cm",NULL,124.86,124.86,124.86,124.86,"C0012A-9R-5, 61.0 cm",NULL,124.88,124.88,124.88,124.88,"C0012A-9R-5 WR, 59.0--61.0 cm",CKY000000000000590110,CARB,NULL,10,verena322,NULL,CKY,2009-09-26T22:18:09Z,NULL,NULL,NULL,NULL,0.05607,0.4266,0.18203,10/4/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-9R-5, 60.0 cm",NULL,124.87,124.87,124.87,124.87,"C0012A-9R-5, 60.0 cm",NULL,124.87,124.87,124.87,124.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1661,1.3841,miyabes,2009-10-08T11:29:42Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-9R-6, 30.0 cm",NULL,125.975,125.975,125.975,125.975,"C0012A-9R-6, 32.0 cm",NULL,125.995,125.995,125.995,125.995,"C0012A-9R-6 WR, 30.0--32.0 cm",CKY000000000000591110,CARB,NULL,10,matt322,NULL,CKY,2009-09-26T22:22:46Z,NULL,NULL,NULL,NULL,0.04661,1.66574,0.10591,10/4/2009,miyabes,2009-10-08T10:49:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-9R-6, 31.0 cm",NULL,125.985,125.985,125.985,125.985,"C0012A-9R-6, 31.0 cm",NULL,125.985,125.985,125.985,125.985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4226,11.8545,miyabes,2009-10-08T11:29:42Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-2, 41.0 cm",NULL,132.025,132.025,132.025,132.025,"C0012A-10R-2, 43.0 cm",NULL,132.045,132.045,132.045,132.045,"C0012A-10R-2 WR, 41.0--43.0 cm",CKY000000000000597010,CARB,NULL,8,brandon322,NULL,CKY,2009-09-27T00:17:42Z,NULL,NULL,NULL,NULL,0.05423,0.92808,0.12738,10/4/2009,miyabes,2009-10-08T10:49:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-2, 42.0 cm",NULL,132.035,132.035,132.035,132.035,"C0012A-10R-2, 42.0 cm",NULL,132.035,132.035,132.035,132.035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6123,5.1023,miyabes,2009-10-08T11:29:42Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-3, 44.5 cm",NULL,132.615,132.615,132.615,132.615,"C0012A-10R-3, 46.5 cm",NULL,132.635,132.635,132.635,132.635,"C0012A-10R-3 WR, 44.5--46.5 cm",CKY000000000000591810,CARB,NULL,3,matt322,NULL,CKY,2009-09-26T22:25:34Z,NULL,NULL,NULL,NULL,0.05473,0.28791,0.10529,10/4/2009,miyabes,2009-10-08T10:49:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-3, 45.5 cm",NULL,132.625,132.625,132.625,132.625,"C0012A-10R-3, 45.5 cm",NULL,132.625,132.625,132.625,132.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0482,0.4017,miyabes,2009-10-08T11:29:42Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-5, 35.0 cm",NULL,134.39,134.39,134.39,134.39,"C0012A-10R-5, 37.0 cm",NULL,134.41,134.41,134.41,134.41,"C0012A-10R-5 WR, 35.0--37.0 cm",CKY000000000000598510,CARB,NULL,8,brandon322,NULL,CKY,2009-09-27T00:20:29Z,NULL,NULL,NULL,NULL,0.05329,0.54023,0.1519,10/4/2009,miyabes,2009-10-08T10:49:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-5, 36.0 cm",NULL,134.4,134.4,134.4,134.4,"C0012A-10R-5, 36.0 cm",NULL,134.4,134.4,134.4,134.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2917,2.4307,miyabes,2009-10-08T11:29:42Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-5, 92.0 cm",NULL,134.96,134.96,134.96,134.96,"C0012A-10R-5, 94.0 cm",NULL,134.98,134.98,134.98,134.98,"C0012A-10R-5 WR, 92.0--94.0 cm",CKY000000000000599310,CARB,NULL,8,brandon322,NULL,CKY,2009-09-27T00:23:48Z,NULL,NULL,NULL,NULL,0.05617,1.45892,0.11977,10/4/2009,miyabes,2009-10-08T10:49:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-5, 93.0 cm",NULL,134.97,134.97,134.97,134.97,"C0012A-10R-5, 93.0 cm",NULL,134.97,134.97,134.97,134.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0987,9.1555,miyabes,2009-10-08T11:29:42Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-10R-6, 0.0 cm",NULL,135.44,135.44,135.44,135.44,"C0012A-10R-6, 2.0 cm",NULL,135.46,135.46,135.46,135.46,"C0012A-10R-6 WR, 0.0--2.0 cm",CKY000000000000600210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-27T00:26:42Z,NULL,NULL,NULL,NULL,0.0582,0.71084,0.11432,10/5/2009,miyabes,2009-10-08T10:49:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
